identifier,creator,title,publisher,date,bibliographicCitation,description
the-ticket-that-exploded-7,William S. Burroughs,The Ticket That Exploded,London: Calder & Boyars,1968,"schottlaender/4.0/A6d, maynard-and-miles/A6d","First English. Signed by Burroughs, inscribed ""For Brad"".  I obtained this item from Red Stodolsky of Baroque Books in Hollywood in the late Eighties; I remember Red smiling gnomically when he handed it to me, as if he'd arranged to get it inscribed for me, but I have no real proof that that was the case. Slight tear and rubbing on spine of dust jacket."
apo-33-bulletin-2,William S. Burroughs,APO-33 Bulletin,"San Francisco: Beach Books, Texts and Documents",1968,"schottlaender/4.0/A13c, maynard-and-miles/A12c",Third. Second printing of Beach edition.
apomorphine-1,William S. Burroughs,Apomorphine,Paris: L'Herne,1969,"schottlaender/4.0/A20, maynard-and-miles/D14","First. Per James Musser: ""Softbound (no hardbound issued). First edition. Prints ""Apomorphine"" in it's entirety (in three-column style), as well as ""Day the Records Went Up,"" ""Coldspring News,"" ""Parenthetically 7 Hertz,"" and more. Among the scarcer Burroughs items. Fine. (French text.)"""
the-dead-star-1,William S. Burroughs,The Dead Star,San Francisco: The Nova Broadcast Press,1969,"schottlaender/4.0/A21, maynard-and-miles/A14a",First.
the-dead-star-2,William S. Burroughs,The Dead Star,San Francisco: The Nova Broadcast Press,1969,"schottlaender/4.0/A21, maynard-and-miles/A14a",First. Signed by Burroughs.
fruit-cup-0-1,William S. Burroughs,Fruit Cup 0,,1969,"schottlaender/4.0/C230, maynard-and-miles/C243, maynard-and-miles/C244",
intrepid-14-15-1,"William S. Burroughs, Allen De Loach, Eric Mottram, Claude Pelieu, Carl Solomon, Carl Weissner, Barry Miles, Duncan McNaughton, Brion Gysin",Intrepid 14/15,"Buffalo, NY: Intrepid Press",1969,"schottlaender/4.0/C234, maynard-and-miles/C256, maynard-and-miles/C257, maynard-and-miles/C258, maynard-and-miles/C259, maynard-and-miles/C260, maynard-and-miles/C261, maynard-and-miles/C262, maynard-and-miles/C263, maynard-and-miles/C264","Per Brian Cassidy: ""4to. Illustrated stiff wraps. Near fine. Trace soil to front cover. Internally fine. Bright, clean. Good and sound. 103pp. Special issue of De Loach's lit mag. Features contributions from Burroughs, Eric Mottram, Claude Pelieu, Carl Solomon, Carl Weissner, Barry Miles, and others."""
wormwood-review-9-4-36-1,William S. Burroughs,"Wormwood Review 9, 4(36)",,1969,"schottlaender/4.0/C262, maynard-and-miles/C247",
le-ticket-qui-explosa-1,William S. Burroughs,Le Ticket Qui Explosa,Paris: Christian Bourgois Editeur,1969,"schottlaender/4.0/D123, maynard-and-miles/D13",First French. Wrappers yellowed on spine.
entretiens-avec-william-burrou-1,William S. Burroughs,Entretiens avec William Burroughs,Paris: Editions Pierre Belfond,1969,"schottlaender/4.0/H9a, maynard-and-miles/A15a","First. Inscribed by Burroughs to the dealer and proprietor of Am Here Books, Richard Aaron:  ""For Richard Aaron, William Burroughs."""
the-soft-machine-5,William S. Burroughs,The Soft Machine,London: Corgi Books,1970,"schottlaender/4.0/A5e, maynard-and-miles/A5f",First edition thus.
the-last-words-of-dutch-schult-1,William S. Burroughs,The Last Words of Dutch Schultz,London: Cape Goliard Press,1970,"schottlaender/4.0/A22a, maynard-and-miles/A17a",First. Some yellowing to dust jacket.
the-last-words-of-dutch-schult-2,William S. Burroughs,The Last Words of Dutch Schultz,London: Cape Goliard Press,1970,"schottlaender/4.0/A22a, maynard-and-miles/A17a","First. Signed and numbered by Burroughs, 13 of 100. With tissue wraps as issued."
the-braille-film-1,William S. Burroughs,The Braille Film,San Francisco: Nova Broadcast Press,1970,"schottlaender/4.0/G94, maynard-and-miles/B55a",
the-job-1,"Daniel Odier, William S. Burroughs",The Job,"New York: Grove Press, Inc.",1970,"schottlaender/4.0/H9b, maynard-and-miles/A16a",First.
the-job-2,"Daniel Odier, William S. Burroughs",The Job,"New York: Grove Press, Inc.",1970,"schottlaender/4.0/H9b, maynard-and-miles/A16a","First. Signed by Burroughs, inscribed ""To Mike”."
the-job-3,"Daniel Odier, William S. Burroughs",The Job,"New York: Grove Press, Inc.",1970,"schottlaender/4.0/H9b, maynard-and-miles/A16a",First. Uncorrected proof. Comb-bound in slightly soiled faded orange wrappers.
the-job-4,"Daniel Odier, William S. Burroughs",The Job,London: Jonathan Cape,1970,"schottlaender/4.0/H9c, maynard-and-miles/A16b","First English. Personal copy of Allen Ginsberg, signed by Ginsberg and Burroughs. Inscribed by Burroughs on title page ""For Allen a co worker of many years with respect for his achievements in the cause of freedom William Burroughs 1980"". Ownership signature of Ginsberg on obverse of leaf before title page, with notation at bottom ""Signed June 12, 1980 by WSB."" Publisher's slip (""with compliments from Tom Maschler Jonathan Cape Ltd. 30 Bedford Square London SW1"") and postcard (with picture of Ginsberg and Peter Orlovsky copyright Elsa Dorfman and the Witkin Gallery) laid in."
it-74-1,William S. Burroughs,IT: 74,,1970-02-27,"schottlaender/4.0/C280, maynard-and-miles/C269",
ali-s-smile-record-1,William S. Burroughs,Ali's Smile - Record,"Brighton, England: Unicorn Books",1971,"schottlaender/4.0/A23a, maynard-and-miles/A19a","First. A copy of the record with sleeve originally supplied with the book. This copy was purchased from a different source than my copy of the book, so there's no evidence that the two constituted a complete set. Since one would expect complete sets to stay together, it is unlikely that they ever were. But together they form a made-up copy."
ali-s-smile-1,William S. Burroughs,Ali's Smile,"Brighton, England: Unicorn Books",1971,"schottlaender/4.0/A23a, maynard-and-miles/A19a","First. Signed and numbered by Burroughs, 39 of 99. Unfortunately missing the original box and record."
electronic-revolution-1,William S. Burroughs,Electronic Revolution,Cambridge: Blackmoor Head Press,1971,"schottlaender/4.0/A24a, maynard-and-miles/A21a","First. Includes four prints signed by Brion Gysin and publisher's prepublication announcement (Maynard and Miles F27) laid in. Inscribed by Burroughs ""for Philip Kaplan Williams Burroughs."" Number 10 of 50. In slipcase with numbered label."
electronic-revolution-2,William S. Burroughs,Electronic Revolution,Cambridge: Blackmoor Head Press,1971,"schottlaender/4.0/A24a, maynard-and-miles/A21a",First.
electronic-revolution-prepubli-1,William S. Burroughs,Electronic Revolution Prepublication Announcement,Cambridge: Blackmoor Head Press,1971,"schottlaender/4.0/A24a1, maynard-and-miles/F27",First. The prepublication announcement for Electronic Revolution (Maynard and Miles A21a).
die-elektronische-revolution-1,William S. Burroughs,Die elektronische Revolution,Bonn: Expanded Media Editions,1971,"schottlaender/4.0/A24b, maynard-and-miles/D27",First German. Number 11 of 100.
